店铺名称,类别,评分,所属片区,纬度,经度,详细地址,优惠套餐情况,营业时间,联系电话,累计售出份数,餐厅简介,特色菜
圣琼美食百汇自助餐厅(国贸店),综合自助,3.2,玉沙路,20.02407,110.32008,龙华区国贸玉沙路11号中盐大厦3楼（富豪大厦正对面）,单人午餐44.8元，单人午/晚餐54.8元;,周一至周日 10:00-21:00,0898-68535598/68537885,412000,圣琼美食百汇自助餐厅，本餐厅占地约1500平方米，装修时尚典雅，同事可容纳400人就餐，300余种各国美食一站式尽情享用，几十种肉类开放式供应，DIY各式西点、粤式点心、糖水、日韩法式铁板烧、土耳其风味大块烤肉，东南亚各国美食料理、品牌白酒、啤酒、各国饮品、鲜榨果汁全天不限量免费供应。至尊海鲜比萨、日式寿司、精品豆捞......无线畅饮！,"菜品,冰淇淋,多,肥牛,羊肉,自助,生蚝,鸡尾酒,烤肉,水果拼盘,麦香奶茶,面,三文鱼寿司,凉拌木耳,金针菇,鲜虾,牛排,螃蟹,鸳鸯锅,田鸡,石斑鱼,鸡肉,肥肉,炒鱿鱼,烤生蚝,蛋挞,蛋糕冰淇淋,肥羊,牛羊肉,鱿鱼,雪花啤酒,多春鱼,水果小吃,海鲜火锅,榴莲酥,黑森林蛋糕,熟菜,各种菜,抹茶蛋糕,火龙果,黑椒牛柳,涮锅,火锅烤肉,甜筒,丸子,烧肉,鸡排,水果冰淇淋,牛羊肉卷,雪糕,蘸酱,水果披萨,椰奶,土豆,花甲,巧克力,蛋糕寿司鸡尾酒,火锅牛肉,小青菜,炒面炒饭,烤牛肉,炒鸡,嫩牛肉,布丁蛋糕,烤扇贝,涮牛肉,蓝莓汁,小鱼,冻豆腐,汤底,前菜,酸菜鱼,热巧克力,凉拌鱼皮,酸梅汁,果汁饮料,鸭肉,酸奶冰淇淋,力加啤酒,其他熟食,生鱼片,刀鱼,海鲜、水果沙拉,涮羊肉,湖蟹肉包,烤羊肉,烤大虾,撒尿牛丸,西瓜哈密瓜,包子,蒸饺,鲜榨果汁,果汁,鸡爪,火锅肥牛肉,肥牛肥羊,牛肉羊肉片,腌制菜,水果蛋糕冰淇淋,虾丸,鸡腿肉,牛肉卷,烤生蚝炸薯条,铁板烧,米饭,巧克力球,香芋酥,牛肉丸,海带丝,秋刀鱼,水果蛋糕寿司,烤肉类,蟹柳,鳕鱼片,巧克力寿司,孜然羊肉,凉拌菜花,牛肉羊肉,椰子汁,杨桃,烤串,炒粉,爆米花,煎鱼,水果鸡尾酒,炸榴莲酥,芒果汁,哈密瓜汁,铁丝菜,骨头,。。,品种繁多,蒜蓉地瓜叶,小鱼肚,绿豆汤,水果寿司,红烧鱼,梅菜扣肉,贝类,冰淇淋红茶,秋葵,大馄饨,鱼肉皮,毛肚,泡椒,红薯粉,葡萄,水饺,煎肉,糯米糕,肥牛肉,猪脑花,牛扒,土豆牛肉,寿司冰淇淋,香芋地瓜丸,芒果果冻,蒜泥油碗,热狗,泡菜,培根肉,皇帝菜,烧生蚝,新鲜生蚝,冰淇淋球,可口可乐,鸡肠,寿司披萨,香菇炖鸡汤,烤虾烤鸡,新鲜水果沙拉,肉丝面,涮菜,面包,麻酱,鱼子寿司,木瓜,紫薯汁,粽子,肥牛卷,凤爪,粉丝,土豆粉,鸡柳,爬爬虾,冒菜,清汤锅底,鸡块,圣女果,小笼包,香芋丸子,炸鸡,十全十美,凉皮,凉菜果汁,香蕉,橙汁,寿司布丁,炒面蛋炒饭"
印象豆捞自助烤肉火锅,烤肉自助,3,解放西/泰龙城,20.038458,110.338334,龙华区解放西个体大世界3楼,单人午餐42.8元，单人午/晚餐49.8元，单人午餐168元，单人午/晚餐196元;,周一至周日 11:00-14:30 17:30-21:30  非营业时段 2018-02-15至2018-02-19 10:00-23:00,0898-66102206,255715,印象豆捞位于解放西路23号个体大世界商场3楼（友谊商城对面），交通便利，环境优美，环境大气而精致，宽敞而明亮的环境让前去用餐的消费者心情舒适，而时尚雅致的装修也会带给每位前来消费的顾客一个愉悦的心情。,"菜,培根,虾,牛肉,羊肉,螃蟹,肥牛,火锅烤肉,炒钉螺,沙拉,烧烤肉,热菜,很好,腐竹,香芋地瓜丸,自助餐,小蛋糕,香辣虾,榴莲酥,鱼,小点心,烤五花肉,烤培根,酱料,营养滋补乌鸡火锅,烤生蚝,黑米粥,火龙果,毛肚,不错的,哈密瓜,1,橙汁,柠檬水,春卷,水果沙拉,烤海鲜,烤鸡腿,贝壳,五花肉卷金针菇,冰镇水果,凉拌菜,新鲜的鱼肉,大虾,麻辣火锅,烤螃蟹烤虾,蔬菜沙拉,冰淇淋,啤酒,菌王锅,可口可乐,麻酱,香肠,生菜包,撒尿牛肉丸,鲜虾,鸭肠,点心,烤肥牛,鸡尖,肉卷,鸡中翅,香辣锅,豆捞,炒面,肥牛肥羊,奶茶橙汁,火锅汤底,炒饭,绿茶,培根火腿,土豆丝,油豆腐泡,双皮奶茶,火锅面,咖喱,芒果汁,果盘,土豆泥,肉包,饺子,木瓜,扇贝,西瓜哈密瓜,韩国烤肉,米饭,菠萝炒饭,猪颈肉,年糕,小布丁,豆浆,土豆，虾,淀粉类,炸肉,乌鸡锅,赖尿虾,皮皮虾,豆芽,辣汤,鸡翅根,牛排,卤蛋,涮菜,鸡翅,富贵虾,海虾,番茄汤,蛋炒饭,火锅汤,布丁冰激凌,虾和牛肉,牛肉羊肉,鸡胸肉,火腿肠,皇帝菜,麻球,冰淇淋果汁,芒果布丁,腌菜,芋头,巧克力冰激凌,麻辣锅,炒鸡,爆米花,汤圆,羊肉串,麻辣小锅,白菜,鸡柳,披萨,肉全部是注水的！一烤全部都出水,肥羊,多春鱼,小布丁冰激凌,芬达,鸡腿汉堡,牛肉卷,天花板,蟹肉,水鱼,红茶,土豆片,地瓜片,肥牛什,肉松,叉烧包,炸春卷,萝卜,鱼糕,冻肉,甜筒,皮蛋,凉拌腐竹,麻婆豆腐,大白菜,香蕉,蛋挞生蚝,薯片,五花肉羊肉,鸡腿肉,炒螺,炒粉炒饭,绿豆糕,咸菜,螃蟹鱿鱼,小龙虾,包子寿司,咖啡奶茶,雪糕,糯米糕,黑胡椒牛肉,腌肉,蘑菇,雪碧,炒米饭,肥牛肥羊卷,鸳鸯锅,龙虾,烤虾螃蟹,羊肉卷和牛,海鱼鱼片,海带火锅汤底,鸡肉鸡尖,羊肉猪肉"
圣琼美食百汇自助餐厅(金丽城店),综合自助,3.4,友谊广场,20.037364,110.336752,龙华区龙华路金丽城2楼,单人午餐44.8元，单人午/晚餐54.8元;,周一至周日 11:00-16:00 17:00-22:00,0898-66245677,192311,,"牛羊肉,鸳鸯火锅,小点心,点心,鱼,烤生蚝,蛋糕,寿司卷,冰激凌,水果沙拉,冰淇淋,海鲜,烤肉,卤菜,牛肉丸,火锅烤肉,哈密瓜,叉烧肉,小蛋糕,肥羊,西瓜,冰,沙拉,清汤火锅,牛肉羊肉,布丁,鲜虾,冰淇淋雪糕,冷饮,绿茶佛饼,螃蟹,凉菜,炸鸡腿薯条,土豆,葡萄,饮料冰淇淋,鸡尖,鸡尾酒,烤肉火锅,香蕉,果汁,火龙果,五花肉,素菜,烤串,叉烧,涮牛肉,鱼肚,鸳鸯锅,奶茶,调味牛排,牛羊肉卷,香芋地瓜丸,鱼肉,八爪鱼寿司,牛扒,腌萝卜条,鱿鱼,炸鱼,麦香奶茶,凉拌木耳,石斑鱼,酸梅汁,炸酱面,煎蛋,串串香,椒盐虾,白斩鸡,炸鸡腿,啤酒,南瓜粥,炒菜类,羊腿,培根,地瓜,巴西烤肉,饮料自助,丸子,烤鱼,湖蟹肉包,双皮奶冰淇淋,包子,涮菜,酸梅汤,蓝莓汁,羊肉串,芒果汁,米饭,奥尔良烤翅,毛肚,鲜牛肉,炒饭,羔羊肉,手打肉丸,芒果,西瓜可乐,炒冰,牛肉片,回锅肉,梅菜扣肉粉蒸肉,三文鱼寿司,脑花,广式早茶,蛋挞,披萨,烤鸡块,煎饺,烤扇贝,咕咾肉,酸菜,酸奶,生蚝扇贝,豆皮,牛肉丸子,骨头,可乐,凉拌海带,鸽子汤,热巧克力,炒面,鲜榨果汁,巧克力,芬达,冰淇淋沙拉,生鱼片,鸳鸯锅底,酸甜排骨,生菜包,水果寿司,红烧鱼,梅花肉,香菇炖鸡汤,梅菜扣肉,肥牛肥羊"
海岛八号(蓝天店),小龙虾,3.2,蓝天路沿线,20.021894,110.344849,美兰区蓝天路15号蓝天路酒吧一条街113、114、115号铺面,双人餐88元起;,周一至周日 午市 11:00-14:00 17:00-02:00  非营业时段 2018-02-14至2018-02-23 全天,0898-65303730,174852,海岛8號音乐吧，是一家不可多得的空中花园音乐吧， 安静且舒适的环境，休闲放松为主题，150寸大屏高清荧幕观看世界杯，感受激情7月。我们为消费者倾力打造一个可以畅享呼吸新鲜空气的好场所，并始终以优良的服务和品质赢得了顾客的信赖，并以您的满意为目的，欢迎大家光临。 繁星下夜空在此品茗着果汁，及各类特色饮品的馨香，享受心灵的舒适，缓解工作生活的压力，感受生活的美好。,"小龙虾,龙虾,十三香小龙虾,田鸡,香辣小龙虾,金桔冰茶,芽菜炒饭,油焖大闸蟹,黑蛙,蒜香小龙虾,香辣蟹,飘香大闸蟹,油焖,小年糕,油焖小龙虾,烤鱼,拍黄瓜,麻辣小龙虾,金橘冰茶,金橘茶,香辣香龙虾,干锅牛杂,香辣蛙,凉拌海菜,烤秋刀鱼,海白豆芽,炒面,蒜泥小龙虾（标准）,香辣大龙虾,生上腐竹,油焖蟹,油焖龙虾,油焖小龙虾（标准）,牛蛙,青蛙,凉拌金针菇,金橘,椒盐小龙虾,香辣田蛙,海带,锅巴,牙菜炒饭,豆芽海白,清蒸大闸蟹,香辣螃蟹,烧鸡公,辣子鸡,金桔柠檬水,榴莲酥,麻辣虾,香辣田鸡锅,酱香骨,烤兔肉,蛋炒饭,烤茄子,铁板牛肉,小龙虾美味,麻辣十三香小龙虾（标准）,大闸蟹礼盒,椒盐小龙虾（标准）,烤生蚝,香辣小龙虾（标准）,十三麻辣香,麻辣十三香小龙虾,木耳,啤酒,腐竹,莲藕,牛杂锅,麻辣十三香小龙虾（精品）,香辣小龙虾（精品）,香辣蛙腿,卤鸭舌,生上莲藕,烤馒头,咸蛋黄南瓜,酱油饭,尖椒小皮蛋,生上莴笋,烤韭菜,香辣田鸡,炒田螺,藻,美人腿,田螺,土豆,酱黄瓜,红豆糕,鸡蛋仔,凉拌海藻,柚子茶,牛蛙套餐,豆角茄子,牛蛙火锅,烫青菜,油焖虾,大号龙虾,精品龙虾,豆腐皮,凉拌黄瓜,蒜蓉小龙虾香辣螃蟹,回锅肉,经典海底总动员,经典干锅牛杂,五指山野菜,擂椒茄子,十三香虾,冰桔茶,鱼片,剁椒鱼头,海白豆芽包,跳跳蛙,秋刀鱼,咸蛋南瓜,烤土豆,麻辣龙虾,烤鸡翅尖,开胃藕尖,碳烤生蚝（半打）,口味虾,凉拌黑木耳,重庆烤茄子,泡椒嫩豆腐,锡纸罗非鱼,香滋滋羊肉串,香滋滋牛肉串,烤莲藕,烤空心菜,烤大青椒,烤小馒头,可口可乐,烤生蚝（半打）,扇贝（半打）+海白豆芽包,黑蛙套餐,炸鸡配啤酒,馋嘴蛙,凉拌菜,配菜拼盘,青骨菜,烤豆干,水煮花生,口味小龙虾,烤鸡爪,酸辣鸡杂,烤青椒,绿豆沙,蔬菜拼盘,桃花鱼,土豆粉,烧椒茄子,大辣椒,口味田螺,茄子豆角,凉拌青瓜,巧克力,口味蟹,英雄酒,美味龙虾,椰子糕,蒜蓉虾,香辣黑蛙,油焖小龙虾大份,花菜煲,招牌黄瓜,酸菜鱼,冰镇饮料,油焖螃蟹,龙虾中份,水煮牛肉,金桔汁,酸梅汁,酸萝卜,香芋酥,卤猪蹄,卤牛腱,五香毛豆,凉拌花生米,芒果螺,生上海带,乌冬面,拼盘,凉拌茄子,猪耳朵,干锅虾,大杂烩,香辣田鸡干锅,花菜,香辣牛蛙,凉拌猪耳"
爱尚客韩式烤肉自助餐厅,综合自助,3.5,京华城,20.027993,110.318789,龙华区玉沙路京华城C区3楼c006-1,单人午餐45.9元，单人晚餐55.9元;,周一至周日 09:00-21:00,0898-68500328,140003,,"菜,肉,烤肉火锅,海鲜,布丁,点心,酒水,冰激凌,泡菜,凉菜,牛羊肉,黑椒牛肉,金针菇肥牛卷,乌鸡卷,水果沙拉,水果蛋糕,猪扒,果汁,牛扒,沙拉,扇贝,果醋,蔬菜,烤螃蟹,秘制烤肉,韩式烤肉,鸭翅,乌鸡片,奶昔,丸子,冰沙,酸梅汁,羊肉,银耳汤,鸡心,虾,哈密瓜,生耗,虾子,水果饮料,香芋卷,肥牛肉,菠萝啤,榴莲蛋挞,小蛋糕,萝卜泡菜,猪颈肉,炒饭寿司,乌鸡汤,芥末,培根金针菇,五花肉,红枣银耳羹,酸萝卜,涮锅,粉丝,番茄锅,爆米花,火龙果,卤水,饺子,煎饺,鸡翅,米饭,咖喱,小点心,可口可乐,蟹肉棒,黑椒牛排,嫩牛肉,西瓜,椰子汁,寿司布丁,火锅烤肉,芒果,双皮奶,翅中,带子,肥羊,苹果醋"
隔壁子串串香,串串香,3.1,文明路/和平南路,20.03966,110.350432,美兰区文明中路125号勤工俭学大楼2层203室（文明中路市中医院旁边，工商银行正对面）,0.8代1元;,周一至周日 11:00-23:00,0898-66113919,120458,,"油碟,鸳鸯锅,盘菜,黄喉,牛肉排骨,粉肠,麻辣红锅,调味碟,糖水凉粉,和牛肉,水晶粉,味碟,牛肉串,鸳鸯锅底,特色牛肉泡椒牛肉,豆奶，辣锅,鸭血,面筋,生菜,盘菜毛肚,黄瓜,麻油,鸡胗,炒鸡,千叶豆腐,牛肉排骨酥肉,火锅面,红油锅,排骨和牛,猪脑花,鸡中翅,鸡翅,特制牛肉,拌菜,辣汤,米饭,炒饭,锅底大,篮子菜,清锅,餐纸,腌制牛肉,麻辣汤,牛肉豆浆,特色牛肉和牛,粉丝,牛肚,红油麻辣锅,酸梅汤,麻辣锅,麻辣火锅,肥肠,掌中宝和牛,腊肉,笋尖,豆皮,金针菇,麻辣烫,木瓜水,莴笋尖,麻酱,龟苓膏,牛油,牛肉面,腰片,面条,烫菜,蘸酱,招牌牛肉,维他豆奶,长签,短签"
隔壁子串串香、火锅、烧烤,串串香,3.3,万国大都会,20.031718,110.337571,龙华区万国西路3号义龙大厦3楼（义龙中学右侧）,双人餐44元起，2-3人餐68元;0.8代1元，88代100元;,周一至周日 11:00-02:00,0898-66774754/17789890374,104479,,"凉粉,冰粉,鸳鸯锅,泡椒牛肉,油碟,猪脑,特色牛肉,黄喉,鸭管,芹菜,掌中宝,秘制牛肉,香菜牛肉,盘菜,麻辣红锅,调味碟,特色烤脑花,排骨,雪魔芋,鲜牛肉,芋头,大麦茶,墨鱼丸,担担面抄手,麻辣锅,鸡翅,肥牛,鸭肠鸭血,串串香,烤脑花,面条,芹菜牛肉,麻辣烫,小龙虾,冒鸭肠,沾料,豆奶,山药,鸭心,红糖凉粉,长签,短签,篮子菜,红汤锅底,青菜,珠江面,清锅,炒饭,米饭,餐纸,豆腐,辣锅,涮菜,油碟和牛,炒鸡棒,牛肉丸,麻辣火锅,丸子,火锅面,蘑菇,肉串,涮串,大白菜,麻酱,辣椒粉,土豆片,粉丝,五花肉,烤脑花炒鸡,午餐肉"
隐泉の源,自助餐,4.5,龙华区,20.027691,110.319907,龙华区玉沙路京华城3楼A座1号铺,单人午餐188元，单人晚餐208元，单人晚餐368元，单人晚餐558元;,周一至周日 早午餐 10:00-14:00 11:30-14:00,0898-68532390,100465,隐泉の源是一家以连锁形式经营的铁板烧专门店，本店的特色铁板烧，创意寿司已成为行业中的一大亮点，深受广大食客的亲睐，真真的做到了家喻户晓，老少皆宜，是一个朋友聚会，家庭聚餐的理想场所。“取以天然、佐之精简、逗留齿类的曼妙、回味幽远；泉心于眼、泉眼是源、常驻心田的牵挂、寻根启源。,"鹅肝,生蚝,刺身,牛肉,三文鱼,鳗鱼饭,扇贝,蛋黄焗大虾,生蚝扇贝,虾,寿司拼盘,火焰冰淇淋,烤生蚝,蛋黄扇贝,手卷,寿司,蒜蓉虾,盐烤银杏,牛仔骨,火焰冰激凌,烧牛舌,牛肋排,蛋黄烤生蚝,广西黑猪肉,烤鳕鱼,蛋黄大虾,松茸汤,虾仁天妇罗,鲜榨果汁,芝士扇贝,火龙果汁,芝士局大虾,烤扇贝,三文鱼拼盘,黑椒牛排,酸梅汁,铁板海鲜,海鲜合盘,鹅肝寿司,西瓜汁,蛋黄虾,山楂汁,法式鹅肝,铁板黄花鱼,白金枪鱼,牛肉金针菇卷,生鱼片拼盘,牛排鹅肝,蛋黄焗虾,火焰螺,蚌,清酒,冬菇大虾,蟹子蛋羹,柠檬红茶,炸鸡块,番石榴汁,小羊排,日式铁板烧,生鱼片刺身,开背虾,沙拉牛肉,牛肉粒,日料,螺,芝士焗扇贝,原味虾,面包片,榴莲,口蘑菇,大虾,蟹子蒸蛋,蒜蓉扇贝,好多吃的,朗德鹅肝,土豆泥,小菜,盐灼白虾,怪味鸡,鲽鱼,苦瓜虾丸,海鲜意面,哈密瓜,水果盘,哈密瓜汁,牛肉饭,白金枪鱼刺身,果粒橙,刺身拼盘,甜虾刺身,蛋,豆腐,大海螺肉,蒜蓉蒸虾,薄牛舌,盐烤大虾,生吃牛肉,汤,梅子豆腐,口菇,紫薯汁山楂汁,土豆片炒豆芽,大虾天妇罗,盐焗虾,芝士生蚝,小章鱼,刺身三文鱼,鱼肉,煎菠萝,炸鱿鱼圈,辣炒鱿鱼,厚烧牛排,酸梅汤,骨汤拉面,马胶鱼,沙拉酱,菠萝汁,柠檬汁,烤三文鱼头,铁板炒饭,蓝莓酱,哈根达斯,甜虾寿司,小蛋糕,澳洲牛肋条,冰激凌球,糯米团,烤鳗鱼,焗生蚝焗扇贝,前菜,牛小排,牛肉土豆饼,木瓜汁,炒意粉,牛羊肉,凉菜,水饺,大连鲍,蛋挞,贝壳,西湖龙井,加多宝,炭烤青鱼,蟹子沙拉,牛肉片,芝士焗生蚝,牛肉干"
薇薇安(上邦店),蛋糕,4.7,上邦百汇城,20.021515,110.322283,龙华区金贸街道金龙路11号隆仟百货1楼门口,16.9元千层蛋糕切件，25元任意口味切件+任意口味老盐系列，30元任意口味切件+水果茶系列，33元任意口味切件+任意口味纯榨果汁，108.9元蛋糕6选1;29.9代38元;,周一至周日 10:00-22:30,0898-68576246,99500,,"榴莲千层,榴莲切件,榴莲千层蛋糕,千层蛋糕,芒果千层,芒果切件,芒果榴莲肠粉,芒果千层蛋糕,提拉米苏切件,提拉米苏千层,抹茶千层,千层榴莲蛋糕,榴莲千层糕,抹茶蛋糕,提拉米苏蛋糕,金桔柠檬绿茶,老盐金桔柠檬水,金桔柠檬茶,榴莲肉,水果肠粉,小点心,芒果和榴莲,榴莲果肉,咸奶油蛋糕,千层芒果,椰子切件,抹茶,榴莲糕,抹茶千层糕,切件蛋糕,抹茶奥利奥千层,水果茶,提拉米酥,小蛋糕,榴莲蛋糕,抹茶红豆,榴莲切片,菜,百香果苏打水,巧克力千层蛋糕,榴莲蛋糕皮,榴莲班戟榴莲,巧克力,提拉米苏千层蛋糕,蛋糕,纯牛奶,椰子千层蛋糕,招牌榴莲千层,小笼包,芒果千層,可丽饼,哈密瓜,榴芒双拼,招牌榴莲千层蛋糕,芒果多多,榴莲千层饼,提拉米蘇,快乐柠檬,小块蛋糕,榴莲芝士,金桔汁,芒果切片,千层提拉米苏,面包皮,牛肉松,俄罗斯提拉米苏,招牌蛋糕,芒果蛋糕,千层榴莲切片,金桔柠檬,芒果切块,榴莲千层蛋糕榴莲肉,紫薯布丁,打包袋,千层芒果蛋糕,柠檬苏打,可口可乐,柠檬金桔,巧克力奶油,千层酥,枣味蛋糕,红豆蛋糕,鲜芒果,芒果千层糕,椰子千层,香水柠檬,榴莲蛋糕卷,芒果千层芒果,榴莲千层榴莲,榴莲忘返,乳酪蛋糕,榴莲飘香"
博鳌亚洲湾海鲜自助餐厅,自助餐,4.3,琼海,19.191544,110.596809,琼海市博鳌镇滨海大道（博鳌亚洲湾大酒店一楼西餐厅）,单人晚餐109元;,周一至周日 18:00-21:00,0898-36861035,76568,博鳌亚洲湾酒店是四海度假旗下的度假酒店，位于博鳌亚洲论坛举办地博鳌，景色优美，拥有一线的海景资源，让您畅享亲海的快乐和度假的安逸宁静的生活。位置全面享受博鳌的千亿配套，距离天堂小镇博鳌仅仅1800米，约三分钟车程，以六个亚洲著名旅游岛为建筑蓝本，融合亚洲多国社区景观借鉴东南亚热带雨林的原味风格，文化精髓，构筑容纳天地的热带岛居风情别墅群落，更在群岛中点缀六座近百米现代主义波浪型艺术建筑，成就南中国东线海岸独特的建筑地标，设计“五纵一横”的景观带组合，景观展示区主要由主入口景观带、环岛运河水系景观带、酒店前广场景观带、中心区度假娱乐景观广场、滨海沙滩景观带等，占地面积约900亩，酒店拥有270°海景客房660间。,"三文鱼,生蚝,煎牛排,蒜香排骨,水果拼盘,蒜茸粉丝蒸生蚝,螃蟹,核桃包,吃的,糕点,白灼海虾,老火靓汤,煎鸡排,豉汁蒸白鲳鱼,海鲜刺身,烧鹅,三文鱼片,蒜茸时蔬,黄色希鲮鱼,酸汤肥牛,1,小点心,蒸凤爪,白切鸡,红烧猪蹄,香酥春卷,红油猪耳,烤肥牛,蛙肉,香煎菜包,蔬菜沙拉,冷盘,鸡排牛排,烤鱼,螺,烤牛排鸡排,玉米,海鲜拼盘,椰奶,芝士蛋糕,铁板烧,巧克力蛋糕,烤牛肉,烤虾,鱼丸,烤扒,萝卜汤,烤鸡翅膀,焗扇贝,火焰冰淇淋,鱼肉,巧克力曲奇,甜点,海鲜汤,掌中宝,花螺,肉丸,鸡尾酒,烤羊肉串,海鮮,生菜。,文昌鸡,热狗,早茶,铁板牛肉,牛排鸡排,哈根达斯,单人自助晚餐,大虾,牛肉丸,咖喱牛腩,可乐,水果饮料,烤香菇丸,炒饭面条,法国鹅肝,刺生,煎鱼,三文鱼排,烤牛排,烤茄子,菠萝,豆沙包,肉包,烤玉米,丸子,青岛啤酒,鲜果汁,拌菜,黑啤,果汁冰激凌,烤辣椒,米饭,煎牛肉,烤鱿鱼,芒果,刀鱼,龙利鱼柳,椰子,鸡扒,猪扒"
