店铺名称,类别,评分,所属片区,纬度,经度,详细地址,优惠套餐情况,营业时间,联系电话,累计售出份数,餐厅简介,特色菜
金滏山烤肉·海鲜·火锅自助,综合自助,4,万达,32.062511,112.133436,樊城区万达广场4楼,单人午餐49.9元，单人晚餐59.9元;,,0710-3721588,181636,,"蛋糕,烤肉,披萨,海鲜,寿司,生菜,羊肉串,丸子,关东煮,肉,非常非常多的虾,寿司披萨,牛肉火锅,冰激凌,豆浆,鲜榨果汁,味碟,酒水、饮料区,凉菜区,水果区,烤肉区,西点区,特色小吃,海鲜区,热菜区"
和谐号阳光自助餐厅,自助餐,3.1,人民广场,32.044504,112.155247,樊城区人民广场奔泰阳光城4楼,单人午/晚餐19.9元，单人午餐22.8元;,非营业时段 2018-02-15至2018-02-19 全天,0710-3456677,137998,和谐号阳光自助餐厅位于人民广场奔泰阳光城五楼，店内以火锅，小炒类为主，菜品新鲜，样品齐全，用餐环境整洁卫生，是一家专门为市儿童福利院的孤残儿募捐的爱心餐厅。,"味碟,羊肉,冰淇淋,鸳鸯锅,虾饺,培根,火锅,涮肉,螃蟹,热菜,蒜泥,肉丸子,麻辣锅底,蛋炒饭,牛羊肉,汇源果汁,肉串骨肉相连,锅底,可乐,蒸蛋,鸡块,冷饮,麻辣烫,冰激凌,饺子,鱼肉,炒面,鸡柳,麻辣锅,麻花,骨肉相连,鸡蛋羹,蛋糕,小点心,冒菜,米饭,包子,西瓜,清汤锅底,煎饺,雪糕,虾子,带鱼,涮菜,火龙果,烤肉串,南瓜粥,前菜,鱼块,蒸鸡蛋,煮鸡蛋,粽子,肥牛卷,馒头,粉丝,花甲,米线,牛肉卷,腊肠,锅贴,橙汁,羊肉片,烤鸭,热牛奶,豆浆,牛肉片,撒尿牛肉丸,百叶,脑花,羊肉卷,南瓜汤,粉条,土豆粉,撒尿牛丸,豆皮"
江南自助烤肉,烤肉自助,3.3,襄城武商,32.010801,112.139763,襄城区长虹南路襄城武商襄城购物广场四楼（近檀溪路）,单人午餐49.5元，单人晚餐62元;,周一至周日 10:00-21:00,0710-3566868,133564,江南自助烤肉位于武商襄城购物广场室内四楼，以自助烤肉为主，配以地道的韩式料理、韩国酱料，采用最新式红外线烤炉，提供上百种自助菜品、饮料水果、韩国特色酒水饮料。餐厅所选用的红外线无烟电烤炉的特点是能使用烤盘均匀受热，使肉由内到外均匀烤熟，烤肉即嫩又有水份。,"蛋挞,虾,烤鸡翅,烤肉,葡萄汁,银耳汤,黑椒牛肉,奥尔良烤鸡,丝滑拿铁,蒸蛋,辣白菜,哈密瓜,龙利鱼,肉,螃蟹,饮料,香辣蛤蜊,培根肉,花蛤,布丁,水果沙拉,五花肉,牛肉羊肉,羊肉卷,前菜,馒头,生菜包肉,烤肠,中翅,麻辣牛肉,小螃蟹,蛋塔,沙冰,牛肉卷,黑椒牛排,卡布奇诺咖啡,鸡柳,鱼肉,蛋炒饭,咖啡奶茶,西冷牛排,孜然牛肉,小点心,酸奶,皮蛋瘦肉粥,烤基围虾,疯狂烤翅,粉丝,可口可乐,烤香菇,虾子,葡式蛋挞,泡菜,鸡爪子,螃蟹腿,黄金贝,炒花甲,巧克力,龙利鱼片,蟹排,烤肉类,烤鸡排,小布丁,鸡翅膀,咖啡,小蛋糕,黑胡椒酱,芒果汁,肉卷,黑椒酱,干锅,鸡翅中,火腿,罐头,鸡蛋羹,培根鸡翅,花茶,慕斯蛋糕,鸭脖子,虾子花甲,火龙果,排骨汤,铁板鱿鱼,蘸酱,西瓜柚子,火龙果哈密瓜,酸梅汤,黑胡椒牛肉,冷饮,糖水,烤虾,小米粥,果汁饮料,烧鸡,千叶豆腐,香蕉,蟹脚,米饭,味碟,豆浆,水果披萨,麻辣烫,丸子,橘子,水煮肉,鱼块,草莓番石榴汁,黑椒汁牛肉,牛羊肉卷,烤生蚝,黑椒肥牛,豆花,粉条,海鲜豆腐,葡萄酒,鸡排,炒面,关东煮,鸡米花,烤五花,巧克力喷泉,涮菜,西柚汁,烤鱼片,炒饭,肉串,香辣猪肉,面,鱿鱼片"
韩尚坊韩式自助烤肉,自助餐,3,人民广场,32.042299,112.15843,樊城区拉美步行街对面海创广场二楼食尚城内（拉美步行街对面）,单人午餐41.9元，单人晚餐51.9元;,非营业时段 2018-02-15至2018-02-20 全天,0710-2155567,107148,走进韩尚坊的**印象，就是浓浓的烤肉香气，每一桌都吃得欢腾。薄薄的纸上，排满了喷香的肉，滋滋作响。每当想念这过瘾的烤肉，都不由自主地想来到这里，吃上一顿满足的美餐。当然，等候肉烤熟的时间总是难熬，但韩尚坊里多样的美食，会让你挑花了眼，也吃撑了肚皮。一趟一趟离开座位去拿取想要的美味，一点一点享受置身在美食海洋里的幸福感。,"培根,冰淇淋,培根肉,多,扇贝,炒花甲,咖啡,螃蟹腿,虾,腌牛肉,生菜,水果沙拉,牛肉,熏肉,五花肉,自助午餐,韩式烤肉,鸡翅,西瓜,炒面,鲜,猪排,糕点,肥牛卷,水果布丁,很好吃,南瓜汤,冰激凌,蟹,虾子,蛋挞,羊肉卷,虾寿司,培根卷,鸡腿肉,海鲜,单人自助烤肉,肉包子,孜然羊肉,小点心,双皮奶,韩式鲜果沙拉,哈密瓜,辣白菜,韩国大酱,鸡排,小糕点,薯条,鲜榨果汁,三明治,蔬菜,橙汁,甜筒,烤极品肥牛,土豆,烤肠,烤五花肉包生菜,烤鸡肉,王老吉凉茶,蛋挞薯条,包子,烤生蚝,涮菜,鱿鱼片,炒鱿鱼,果汁王老吉,银耳汤,汤,骨肉相连肉串,糖醋里脊,萝卜排骨汤,鸡翅尖,大牛排,小布丁,粽子,烤韭菜,豆浆,烤极品五花肉,韩式水冷面,韩式石锅拌饭,菠萝啤,小牛排,排骨汤,饺子,烤鸡排,糖水,包生菜,豆花,水果罐头,豆干,南瓜糊,涮锅,麻辣香锅,虾饺,面筋,鱿鱼须,小鱼,黄桃罐头,冷饮,柚子,酒水饮料,银耳莲子,热饮,披萨蛋挞,黄金糕,糯米排骨,西红柿蛋汤,酸奶,小黄鱼,蒸饺,拌面,橘子,乌冬面,生菜包培根,腱子肉,烤肉类,可口可乐,鸡脯肉,慕斯蛋糕,奶昔,火龙果西瓜,寿司披萨爆米花,梅肉,可乐奶茶咖啡,小馒头水晶包,猪扒,鸡腿,香菇 牛蛙,还不错！！！,秋刀鱼,炒年糕,黑胡椒酱,黑椒,烤鸡翅,凤爪,臭干子,人参鸡汤,辣烩海鲜芝士年糕,辣椒粉,韩国辣酱,蘸酱,鱼块,石锅饭,羊肉片,厚牛排,鸡蛋汤,馒头,香蕉,红茶,七喜,玉米汁,烧麦,曲奇,部队火锅,鲜虾,香辣蟹,炒蛋,巴西烤肉,炒蛤蜊,鸡皮,小笼包,苹果汁,西瓜汁,羊肉串,羊腰,虾子花甲,牛肉串,炒米饭,鲜鱿鱼,鲜虾子,批萨,干锅,爆炒花甲,鸳鸯锅底,冻虾,葡萄,八爪鱼,可乐,果冻,炒鸡,拌菜,烤串,包子饺子,辣白菜五花肉,蛋塔,牛肉卷羊肉卷,小芒果,炒饭炒面,鸡扒"
米果经典烘焙(大西街店),蛋糕,4.9,中心商业区,32.128273,112.761805,枣阳市大西街娱凰网络休闲会所隔壁,1.4元葡式蛋挞，3.9元米果毛毛虫，3.9元法式酸奶卷，6.9元精致慕斯，12.8元美味甜品，卡通蛋糕78元，摇头娃娃Kitty猫78.8元，欧式水果蛋糕98元，98元蛋糕2选1，98元蛋糕3选1，118元蛋糕2选1，蟠桃贺寿119.9元，白雪公主与七个小矮人蛋糕138元，凯蒂猫hello Kitty儿童个性定制生日蛋糕168元;20代22元，115代120元;,周一至周日 07:00-22:00,0710-6165368,75410,米果经典烘焙采用进口的原料，新美食挑起你的幸福味蕾。米果糕点是枣阳市生日蛋糕专卖店，提供更专业蛋糕服务。卡通蛋糕栩栩如生 惟妙惟肖：水果蛋糕 ，典雅脱俗 ，色彩天然绚丽 ，品尝起来更是香甜清爽 ，沁入心扉 ，让您充分感受纯美生活 ，体会时尚魅力。爱上米果，爱尚生活。,"米果,蛋挞,水果拼盘蛋糕,小蛋糕,卡通蛋糕,蛋糕面包,水果奶油蛋糕,慕斯,糕点,毛毛虫面包,榴莲酥,8英寸水果蛋糕,蟠桃贺寿,过生日,巧克力花,小黄人,奶油水果,胡萝卜包,榴莲酥饼,米,玫瑰玫瑰,黄桃罐头,手撕面包,黑美人,三层蛋糕,其他家的冰皮月饼,水果很多，很好吃,喜羊羊,好吃味美。。,羊肉串,炸酱面,小鸭子,糖醋肉,纯牛奶,白雪公主,老婆饼,毛毛虫蛋糕,黑色巧克力片,法式酸奶卷,蟠桃祝寿,蛋黄奶,水果沙拉,八寸蛋糕,圣女果,一口蛋糕,日式手卷,蛋糕卷,水果夹心,红豆蛋挞,可可西里,水果布丁"
正新鸡排(万达店),小吃快餐,4.2,万达,32.063815,112.133829,樊城区长虹北路17号（肯德基门口，农行对面，公交车站旁）,10.9元鸡排套餐，22元2份鱿鱼片;,非营业时段 2018-02-15至2018-02-15 全天,15271968592/18672724593,73444,,"大鸡排,酸梅汁,果粒橙,鸡排套餐,鱿鱼片,豪大大鸡排,黄焖鸡米饭（小份）,小点心,烤肉串,口感好，味道香,鸡排用油,酱辣椒,烤鸡,大香肠,辣椒面,辣椒粉,桥头排骨,上校鸡块,卡乐比,热咖啡,矿泉水,热豆浆,沙拉酱,孜然味鸡排,大肉串,荷包蛋,午餐套餐"
古一味牛肉面,面条,4.2,万达,32.063786,112.133431,樊城区长虹北路万达广场室外步行街1-081-082号（农业银行隔壁，万紫千红对面）,10.9元牛肉面单人套餐;,周一至周日 07:00-21:30,0710-3700900,69528,古一味牛肉面位于长虹北路万达金街1-081-082，占地面积320平方米，可一次容纳108人，主要经营牛杂面、牛肉面、牛鞭面、豆腐面、炸酱面、现磨豆浆、黄酒、安心油条、有机鲜鸡蛋、牛肉火锅、牛杂火锅等。吃放心的牛肉面就到古一味牛肉面,"牛肉面,豆浆,黄酒,面条,油条,牛杂面,现磨豆浆,牛鞭面,杂酱面,鸡蛋饼,古一味牛肉面,土鸡蛋,海带面,牛肉面套餐,刀拍黄瓜,小油条,炸豆腐,黄焖鸡米饭（小份）,热干面,原磨豆浆,豆腐面,开胃萝卜条,炸酱面,鸡蛋煎饼,牛肉汤,酸辣白菜,牛肉火锅,豆沙,萝卜丁,大包子,白菜香菇,大块牛肉,绿豆沙,儿童餐,猪肉面,牛肉面条,宜城大虾,筒子骨,宜城盘鳝,凉拌香瓜,古一味烧鸡,干锅虾球,烧田螺,面条汤,酒鬼猪肝,清炒时蔬,毛豆,花生,辣牛肉,牛杂火锅,玉米粥,小炒肉,泡菜,口味木耳,牛杂,大头菜,金针菇,开味萝卜条,豆芽,豆皮,绿豆汤,宽粉,时蔬"
糊涂仙香辣蟹(银泰店),海鲜,3.8,人民广场,32.040289,112.157948,樊城区开放广场银泰1楼后座（湖北银行与中信银行之间）,2-3人餐78元，2-3人餐89元，6-8人餐299元;85.9代100元;,周一至周日 11:00-14:00 17:00-21:30,0710-3439888,65113,"糊涂仙香辣蟹是在原重庆风味火锅的基础上,结合本地顾客的不同口味需求进行了改良和创新。独创的香辣蟹集麻辣鲜香于一体，麻而不烈、辣而不燥、口感香醇，是您亲朋聚会的好去处","螃蟹,香辣蟹,虾,烤鸡翅,香辣鱿鱼,脆骨,凉粉,火烧馍,菜,香辣凤爪,豆皮,四川苕粉,香辣基围虾,午餐肉,千页豆腐,牛肉丸,冬瓜,爆米花,金银馒头,凤爪,鱿鱼锅,果珍,香辣蟹拼香辣虾,小甲鱼,玉米粥,萝卜丝,豆腐脑,酸梅汁,凉拌鱼皮,烧烤土豆片,川味凉面,基围虾锅,烤小黄鱼,葱煎包,火腿肠,虾蟹,小馒头,草莓奶昔,鸳鸯锅,烤藕片,基围虾鱿鱼,烤茄子,凉拌牛肉,口味蟹,魔芋豆腐,菠萝汁,长寿面,紫薯丸子,皮蛋拌豆腐,土豆片,米酒汤圆,香辣鸡,可口可乐"
天添有鱼自助火锅(春园路店),火锅自助,3.8,家乐福,32.055475,112.142555,樊城区新华路与春园路交汇处（市路灯管理处旁）,单人午餐36元，单人晚餐39.8元，单人午餐42元，单人晚餐45元;,周一至周日 11:30-14:00 16:30-21:30  非营业时段 2018-02-15至2018-02-22 全天,0710-3598555,57894,,"财鱼,不错,鱼肉,涮菜,鸳鸯锅底,汤,牛羊肉,牛百叶,脑花,西瓜,蓝莓汁,鱼肉丸,爆米花,鲜牛肉,银耳汤,牛腩,环境也很好,鸡块,可乐,烤猪肉,财鱼肉,味碟,猪脑,芒果汁,牛羊肉卷,品种丰富,草鱼火锅,涮锅,干锅鸡,草鱼锅,煎饼,皮蛋瘦肉粥,鱿鱼片,可口可乐,鸭肉,空心菜,豆奶,和羊肉,花饭,片片鱼,苹果,烤香肠,炸花生,二锅头,红烧牛肉,鸡尾酒,干煸鸡块,牛肉丸,炒鸡,橙汁,香蕉,尖椒皮蛋,菊花茶,鱼肉丸子,豆芽,香辣酱,麻酱,双皮奶,薯条,橘子,奶茶,葱花,花生米,生菜,白菜,鱼皮,青菜,山药,香菇,牛肉干,柚子,橙子,米饭,酸菜,水煮花生,鸭肠,辣锅底,火锅汤,牛肉羊肉,前菜,鸡扒,披萨,羊头,狗肉,馒头,烤肠,豆腐,鹌鹑蛋,炒饭,苏打水,葡萄,小饼,肥牛肥羊卷,草鱼锅底,鱼头"
韩香悦韩式自助烤肉,烤肉自助,3.5,鼓楼,32.016818,112.152056,襄城区鼓楼商场（麦当劳）三楼鼓楼商场美食城,其他39.9元，单人午餐47.9元，单人晚餐56.9元，[3]人午餐139元，[3]人晚餐165元;,周一至周日 10:00-21:30,0710-3275998,54142,,"自助烤肉,培根,双皮奶,五花肉,小牛排,炒花甲,虾子,肉,小点心,锅,鹅翅,蛋挞薯条,拌菜,大螃蟹,黑椒猪排,时蔬,羊肉卷,生鱼片,烤牛排,辣酱,肥羊,扇贝粉丝,小蛋糕,翅中,蒸鸡蛋,龙利鱼,乌冬面,烤牛里脊,鱼虾,螃蟹腿,热巧克力,柚子茶,小糕点,培根肉,小排,薯条,辣白菜,曲奇饼干,水果区,奥尔良鸡排黑椒,牛排骨,酸菜,奥尔良鸡块,泡芙寿司,牛扒,萝卜排骨汤,南瓜汤,辣子鸡,酒水饮料,鸡柳,慕斯蛋糕,单人自助烤肉,巴西烤肉,泡菜,自助烧烤,桂圆,麻辣小龙虾,冷饮冰淇淋,肉串,黄金糕,炒饭炒面,米酒,骨头,炸鸡块,肉酱,鸡排,红豆双皮奶,辣椒粉,蟹排,大牛排,冰淇淋蛋挞,糕点,丸子,圣女果,布丁,泡椒鱼皮,凉拌鱼皮,面条,苹果,牛羊肉,香梨,牛肉卷,牛腰,小吃区,香辣蟹,意大利面,紫薯卷,麻酱,鸡扒,腌肉,银耳粥,涮菜,巧克力小蛋糕,可乐,年糕,中翅,韩式烤肉,牛排肉,鲜鱿鱼花甲,烤肉串,虾和鱿鱼,生煎包,芒果,炒鸡,蟹脚,双皮奶泡芙,鲜虾,雪蟹腿,巧克力喷泉,可口可乐,薯条鸡块,酸奶,嫩牛肉,炒乌冬面,果汁,炒米饭,味碟,肥牛卷,豆浆,羊肉串,烤羊肉,牛排骨头,涮锅,紫菜包饭,宫保鸡丁,烤香菇,酱香五花肉,米饭蒸鸡蛋,亲亲肠,玉米汤,双皮奶冰激凌,烧肉"
